generation	mean	max	min	deviation	diversity
217	23.3238	23.3238	23.3238	1.72278e-05	0
218	23.3238	23.3238	23.3238	1.72278e-05	0
219	23.3238	23.3238	23.3238	1.72278e-05	0
220	23.3238	23.3238	23.3238	1.72278e-05	0
221	23.3238	23.3238	23.3238	1.72278e-05	0
222	23.3238	23.3238	23.3238	1.72278e-05	0
223	23.3238	23.3238	23.3238	1.72278e-05	0
224	23.3238	23.3238	23.3238	1.72278e-05	0
225	23.3238	23.3238	23.3238	1.72278e-05	0
226	23.3238	23.3238	23.3238	1.72278e-05	0
227	23.3238	23.3238	23.3238	1.72278e-05	0
228	23.3238	23.3238	23.3238	1.72278e-05	0
229	23.3238	23.3238	23.3238	1.72278e-05	0
230	23.3238	23.3238	23.3238	1.72278e-05	0
231	23.3238	23.3238	23.3238	1.72278e-05	0
232	23.3238	23.3238	23.3238	1.72278e-05	0
233	23.3238	23.3238	23.3238	1.72278e-05	0
234	23.3238	23.3238	23.3238	1.72278e-05	0
235	23.3238	23.3238	23.3238	1.72278e-05	0
236	23.3238	23.3238	23.3238	1.72278e-05	0
237	23.3238	23.3238	23.3238	1.72278e-05	0
238	23.3238	23.3238	23.3238	1.72278e-05	0
239	23.3238	23.3238	23.3238	1.72278e-05	0
240	23.3238	23.3238	23.3238	1.72278e-05	0
241	23.3238	23.3238	23.3238	1.72278e-05	0
242	23.3238	23.3238	23.3238	1.72278e-05	0
243	23.3238	23.3238	23.3238	1.72278e-05	0
244	23.3238	23.3238	23.3238	1.72278e-05	0
245	23.3238	23.3238	23.3238	1.72278e-05	0
246	23.3238	23.3238	23.3238	1.72278e-05	0
247	23.3238	23.3238	23.3238	1.72278e-05	0
248	23.3238	23.3238	23.3238	1.72278e-05	0
249	23.3238	23.3238	23.3238	1.72278e-05	0
250	23.3238	23.3238	23.3238	1.72278e-05	0
251	23.3238	23.3238	23.3238	1.72278e-05	0
252	23.3238	23.3238	23.3238	1.72278e-05	0
253	23.3238	23.3238	23.3238	1.72278e-05	0
254	23.3238	23.3238	23.3238	1.72278e-05	0
255	23.3238	23.3238	23.3238	1.72278e-05	0
256	23.3238	23.3238	23.3238	1.72278e-05	0
257	23.3238	23.3238	23.3238	1.72278e-05	0
258	23.3238	23.3238	23.3238	1.72278e-05	0
259	23.3238	23.3238	23.3238	1.72278e-05	0
260	23.3238	23.3238	23.3238	1.72278e-05	0
261	23.3238	23.3238	23.3238	1.72278e-05	0
262	23.3238	23.3238	23.3238	1.72278e-05	0
263	23.3238	23.3238	23.3238	1.72278e-05	0
264	23.3238	23.3238	23.3238	1.72278e-05	0
265	23.3238	23.3238	23.3238	1.72278e-05	0
266	23.3238	23.3238	23.3238	1.72278e-05	0
267	23.3238	23.3238	23.3238	1.72278e-05	0
268	23.3238	23.3238	23.3238	1.72278e-05	0
269	23.3238	23.3238	23.3238	1.72278e-05	0
270	23.3238	23.3238	23.3238	1.72278e-05	0
271	23.3238	23.3238	23.3238	1.72278e-05	0
272	23.3238	23.3238	23.3238	1.72278e-05	0
273	23.3238	23.3238	23.3238	1.72278e-05	0
274	23.3238	23.3238	23.3238	1.72278e-05	0
275	23.3238	23.3238	23.3238	1.72278e-05	0
276	23.3238	23.3238	23.3238	1.72278e-05	0
277	23.3238	23.3238	23.3238	1.72278e-05	0
278	23.3238	23.3238	23.3238	1.72278e-05	0
279	23.3238	23.3238	23.3238	1.72278e-05	0
280	23.3238	23.3238	23.3238	1.72278e-05	0
281	23.3238	23.3238	23.3238	1.72278e-05	0
282	23.3238	23.3238	23.3238	1.72278e-05	0
283	23.3238	23.3238	23.3238	1.72278e-05	0
284	23.3238	23.3238	23.3238	1.72278e-05	0
285	23.3238	23.3238	23.3238	1.72278e-05	0
286	23.3238	23.3238	23.3238	1.72278e-05	0
287	23.3238	23.3238	23.3238	1.72278e-05	0
288	23.3238	23.3238	23.3238	1.72278e-05	0
289	23.3238	23.3238	23.3238	1.72278e-05	0
290	23.3238	23.3238	23.3238	1.72278e-05	0
291	23.3238	23.3238	23.3238	1.72278e-05	0
292	23.3238	23.3238	23.3238	1.72278e-05	0
293	23.3238	23.3238	23.3238	1.72278e-05	0
294	23.3238	23.3238	23.3238	1.72278e-05	0
295	23.3238	23.3238	23.3238	1.72278e-05	0
296	23.3238	23.3238	23.3238	1.72278e-05	0
297	23.3238	23.3238	23.3238	1.72278e-05	0
298	23.3238	23.3238	23.3238	1.72278e-05	0
299	23.3238	23.3238	23.3238	1.72278e-05	0
300	23.3238	23.3238	23.3238	1.72278e-05	0
